sample_id,Type,UMAP1,UMAP2,motility_cluster
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000000112,mt_B-cell,12.645597,17.657644,0
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000018794,mt_B-cell,12.444225,17.414028,3
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000000102,mt_B-cell,12.132408,16.97466,0
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000004700,mt_B-cell,12.961285,15.819543,2
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000020109,mt_B-cell,12.589304,15.323006,2
7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_mt_B-cell_7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_1000005213,mt_B-cell,11.356833,15.728671,1
9-Good-D11-B2-ZT9-50-137-FOV230-256px_Statistics_mt_B-cell_9-Good-D11-B2-ZT9-50-137-FOV230-256px_Statistics_1000016019,mt_B-cell,11.638609,16.203382,0
1-Good-D09-C1-ZT1-70-157-FOV230-256px_Statistics_wt_B-cell_1-Good-D09-C1-ZT1-70-157-FOV230-256px_Statistics_1000002713,wt_B-cell,12.503101,17.378761,0
1-Good-D09-C1-ZT1-70-157-FOV230-256px_Statistics_wt_B-cell_1-Good-D09-C1-ZT1-70-157-FOV230-256px_Statistics_1000000868,wt_B-cell,12.3021,16.257326,0
2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_wt_B-cell_2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_1000000025,wt_B-cell,13.312891,16.991753,3
2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_wt_B-cell_2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_1000003541,wt_B-cell,12.086969,16.538605,0
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_wt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000007000,wt_B-cell,12.762568,16.363674,0
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_wt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000003942,wt_B-cell,13.540871,16.923721,3
6-Good-D11-C2-ZT6-30-117-FOV230-256px_Statistics_wt_B-cell_6-Good-D11-C2-ZT6-30-117-FOV230-256px_Statistics_1000007147,wt_B-cell,13.175742,16.099691,3
7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_wt_B-cell_7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_1000000008,wt_B-cell,12.766733,17.11991,0
7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_wt_B-cell_7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_1000001191,wt_B-cell,12.616505,16.045198,0
7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_wt_B-cell_7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_1000006487,wt_B-cell,13.377631,16.957811,3
8-Good-D11-B2-ZT3-30-117-FOV230-256px_Statistics_wt_B-cell_8-Good-D11-B2-ZT3-30-117-FOV230-256px_Statistics_1000002492,wt_B-cell,12.337317,16.036663,2
8-Good-D11-B2-ZT3-30-117-FOV230-256px_Statistics_wt_B-cell_8-Good-D11-B2-ZT3-30-117-FOV230-256px_Statistics_1000000798,wt_B-cell,13.250597,15.566253,2
8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_wt_B-cell_8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_1000001402,wt_B-cell,13.548358,16.572187,3
8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_wt_B-cell_8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_1000002477,wt_B-cell,13.321667,16.825476,3
8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_wt_B-cell_8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_1000004380,wt_B-cell,13.944887,15.84382,3
8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_wt_B-cell_8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_1000003522,wt_B-cell,12.431402,15.650953,2
